baterryNo,U,A,T,R,recordtime,recordTime,SOC
5,2186,91,128,4738,2022/1/3 12:14,01031214,0.9964575
5,2188,91,128,4738,2022/1/3 12:14,01031214,0.9964575
5,2186,93,128,4738,2022/1/3 12:14,01031214,0.9964575
5,2189,100,128,4738,2022/1/3 12:14,01031214,0.9964575
5,2189,94,128,4738,2022/1/3 12:14,01031214,0.9964575
5,2190,102,128,4738,2022/1/3 12:14,01031214,0.9964575
5,2190,103,128,4738,2022/1/3 12:15,01031215,0.996406
5,2190,103,128,4738,2022/1/3 12:15,01031215,0.996406
5,2190,102,128,4738,2022/1/3 12:15,01031215,0.996406
5,2190,86,128,4738,2022/1/3 12:15,01031215,0.996406
5,2190,102,128,4738,2022/1/3 12:15,01031215,0.996406
5,2190,101,128,4738,2022/1/3 12:15,01031215,0.996406
5,2191,101,128,4738,2022/1/3 12:16,01031216,0.9963555
5,2191,103,128,4738,2022/1/3 12:16,01031216,0.9963555
5,2191,102,128,4738,2022/1/3 12:16,01031216,0.9963555
5,2191,95,128,4738,2022/1/3 12:16,01031216,0.9963555
5,2191,103,128,4738,2022/1/3 12:16,01031216,0.9963555
5,2191,104,128,4738,2022/1/3 12:16,01031216,0.9963555
5,2190,104,128,4738,2022/1/3 12:17,01031217,0.9963035
5,2191,105,128,4738,2022/1/3 12:17,01031217,0.9963035
5,2191,102,128,4738,2022/1/3 12:17,01031217,0.9963035
5,2191,102,128,4738,2022/1/3 12:17,01031217,0.9963035
5,2190,99,128,4738,2022/1/3 12:17,01031217,0.9963035
5,2191,99,128,4738,2022/1/3 12:17,01031217,0.9963035
5,2192,102,128,4738,2022/1/3 12:18,01031218,0.9962525
5,2192,99,128,4738,2022/1/3 12:18,01031218,0.9962525
5,2192,102,128,4738,2022/1/3 12:18,01031218,0.9962525
5,2190,75,128,4738,2022/1/3 12:18,01031218,0.9962525
5,2192,102,128,4738,2022/1/3 12:18,01031218,0.9962525
5,2192,102,128,4738,2022/1/3 12:18,01031218,0.9962525
5,2192,102,128,4738,2022/1/3 12:19,01031219,0.9962015
5,2190,73,128,4738,2022/1/3 12:19,01031219,0.9962015
5,2192,104,128,4738,2022/1/3 12:19,01031219,0.9962015
5,2192,102,128,4738,2022/1/3 12:19,01031219,0.9962015
5,2192,102,128,4738,2022/1/3 12:19,01031219,0.9962015
5,2193,103,128,4738,2022/1/3 12:19,01031219,0.9962015
5,2193,102,128,4738,2022/1/3 12:20,01031220,0.9961505
5,2194,102,128,4738,2022/1/3 12:20,01031220,0.9961505
5,2192,105,128,4738,2022/1/3 12:20,01031220,0.9961505
5,2193,102,128,4738,2022/1/3 12:20,01031220,0.9961505
5,2193,102,128,4738,2022/1/3 12:20,01031220,0.9961505
5,2193,102,128,4738,2022/1/3 12:20,01031220,0.9961505
5,2193,96,128,4738,2022/1/3 12:21,01031221,0.9961025
5,2193,102,128,4738,2022/1/3 12:21,01031221,0.9961025
5,2191,99,128,4738,2022/1/3 12:21,01031221,0.9961025
5,2193,99,128,4738,2022/1/3 12:21,01031221,0.9961025
5,2191,102,128,4738,2022/1/3 12:21,01031221,0.9961025
5,2193,104,128,4738,2022/1/3 12:21,01031221,0.9961025
5,2193,101,128,4738,2022/1/3 12:22,01031222,0.996052
5,2194,103,128,4738,2022/1/3 12:22,01031222,0.996052
5,2190,103,128,4738,2022/1/3 12:22,01031222,0.996052
5,2193,89,128,4738,2022/1/3 12:22,01031222,0.996052
5,2194,104,128,4738,2022/1/3 12:22,01031222,0.996052
5,2194,102,128,4738,2022/1/3 12:22,01031222,0.996052
5,2194,101,128,4738,2022/1/3 12:23,01031223,0.9960015
5,2194,101,128,4738,2022/1/3 12:23,01031223,0.9960015
5,2192,102,128,4738,2022/1/3 12:23,01031223,0.9960015
5,2195,104,128,4738,2022/1/3 12:23,01031223,0.9960015
5,2194,102,128,4738,2022/1/3 12:23,01031223,0.9960015
5,2191,63,129,4738,2022/1/3 12:24,01031224,0.99597
5,2194,102,129,4738,2022/1/3 12:24,01031224,0.99597
5,2194,102,129,4738,2022/1/3 12:24,01031224,0.99597
5,2193,190,129,4738,2022/1/3 12:24,01031224,0.99597
5,2194,103,129,4738,2022/1/3 12:24,01031224,0.99597
5,2195,103,129,4738,2022/1/3 12:24,01031224,0.99597
5,2195,71,129,4738,2022/1/3 12:25,01031225,0.9959345
5,2195,103,128,4738,2022/1/3 12:25,01031225,0.9959345
